#   1H-bar  AMS02(2011/05-2015/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.924713e-01 4.330753e-01 5.537937e-01 7.867569e-03 1.735104e-03 1.735104e-03 7.682138e-04 7.682138e-04 1.897561e-03 1.897561e-03
6.168148e-01 5.537937e-01 6.894980e-01 6.984109e-03 8.526381e-04 8.526381e-04 6.394786e-04 6.394786e-04 1.065798e-03 1.065798e-03
7.638373e-01 6.894980e-01 8.396251e-01 1.168512e-02 8.149624e-04 8.149624e-04 8.149624e-04 8.149624e-04 1.152531e-03 1.152531e-03
9.253174e-01 8.396251e-01 1.012372e+00 1.226778e-02 5.786687e-04 5.786687e-04 8.101362e-04 8.101362e-04 9.955793e-04 9.955793e-04
1.100615e+00 1.012372e+00 1.198879e+00 1.407881e-02 5.631523e-04 5.631523e-04 9.010437e-04 9.010437e-04 1.062554e-03 1.062554e-03
1.298237e+00 1.198879e+00 1.407710e+00 1.542229e-02 5.507962e-04 5.507962e-04 8.812739e-04 8.812739e-04 1.039240e-03 1.039240e-03
1.518167e+00 1.407710e+00 1.638792e+00 1.623015e-02 5.410051e-04 5.410051e-04 9.738091e-04 9.738091e-04 1.113998e-03 1.113998e-03
1.760288e+00 1.638792e+00 1.891975e+00 1.749085e-02 4.266061e-04 4.266061e-04 9.598638e-04 9.598638e-04 1.050396e-03 1.050396e-03
2.033912e+00 1.891975e+00 2.176605e+00 1.728344e-02 4.215472e-04 4.215472e-04 9.484812e-04 9.484812e-04 1.037940e-03 1.037940e-03
2.329532e+00 2.176605e+00 2.483106e+00 1.764256e-02 4.175754e-04 4.175754e-04 9.395446e-04 9.395446e-04 1.028160e-03 1.028160e-03
2.646894e+00 2.483106e+00 2.820918e+00 1.730279e-02 3.108286e-04 3.108286e-04 9.324858e-04 9.324858e-04 9.829263e-04 9.829263e-04
3.005193e+00 2.820918e+00 3.189986e+00 1.636990e-02 3.088660e-04 3.088660e-04 8.236425e-04 8.236425e-04 8.796506e-04 8.796506e-04
3.384993e+00 3.189986e+00 3.590220e+00 1.598072e-02 4.097620e-04 4.097620e-04 8.195240e-04 8.195240e-04 9.162557e-04 9.162557e-04
3.805667e+00 3.590220e+00 4.031334e+00 1.458804e-02 3.060428e-04 3.060428e-04 7.140997e-04 7.140997e-04 7.769174e-04 7.769174e-04
4.267216e+00 4.031334e+00 4.513310e+00 1.250471e-02 2.033286e-04 2.033286e-04 6.099859e-04 6.099859e-04 6.429816e-04 6.429816e-04
4.769608e+00 4.513310e+00 5.036101e+00 1.135438e-02 2.027568e-04 2.027568e-04 5.068920e-04 5.068920e-04 5.459394e-04 5.459394e-04
5.312783e+00 5.036101e+00 5.599644e+00 9.912238e-03 1.314889e-04 1.314889e-04 4.551538e-04 4.551538e-04 4.737661e-04 4.737661e-04
5.896676e+00 5.599644e+00 6.213783e+00 8.773012e-03 1.110508e-04 1.110508e-04 3.937255e-04 3.937255e-04 4.090868e-04 4.090868e-04
6.541057e+00 6.213783e+00 6.878489e+00 7.650406e-03 9.071628e-05 9.071628e-05 3.427059e-04 3.427059e-04 3.545092e-04 3.545092e-04
7.226068e+00 6.878489e+00 7.593723e+00 6.583598e-03 8.053330e-05 8.053330e-05 2.919332e-04 2.919332e-04 3.028376e-04 3.028376e-04
7.971518e+00 7.593723e+00 8.369390e+00 5.490513e-03 6.033531e-05 6.033531e-05 2.413412e-04 2.413412e-04 2.487688e-04 2.487688e-04
8.777391e+00 8.369390e+00 9.205467e+00 4.691919e-03 3.014081e-05 3.014081e-05 2.009387e-04 2.009387e-04 2.031867e-04 2.031867e-04
9.603818e+00 9.205467e+00 1.010192e+01 3.975770e-03 3.011947e-05 3.011947e-05 1.706770e-04 1.706770e-04 1.733142e-04 1.733142e-04
1.060019e+01 1.010192e+01 1.109861e+01 3.240726e-03 2.006642e-05 2.006642e-05 1.404649e-04 1.404649e-04 1.418910e-04 1.418910e-04
1.159715e+01 1.109861e+01 1.209580e+01 2.657450e-03 2.005623e-05 2.005623e-05 1.103093e-04 1.103093e-04 1.121178e-04 1.121178e-04
1.259455e+01 1.209580e+01 1.319317e+01 2.235376e-03 2.004822e-05 2.004822e-05 9.021698e-05 9.021698e-05 9.241772e-05 9.241772e-05
1.379190e+01 1.319317e+01 1.439073e+01 1.853762e-03 2.004067e-05 2.004067e-05 8.016270e-05 8.016270e-05 8.262982e-05 8.262982e-05
1.498965e+01 1.439073e+01 1.568848e+01 1.492591e-03 1.001739e-05 1.001739e-05 6.010431e-05 6.010431e-05 6.093337e-05 6.093337e-05
1.638741e+01 1.568848e+01 1.708643e+01 1.191748e-03 1.001469e-05 1.001469e-05 5.007344e-05 5.007344e-05 5.106509e-05 5.106509e-05
1.778552e+01 1.708643e+01 1.858455e+01 9.541981e-04 8.010058e-06 8.010058e-06 3.704652e-05 3.704652e-05 3.790258e-05 3.790258e-05
1.938366e+01 1.858455e+01 2.018284e+01 7.728237e-04 7.007469e-06 7.007469e-06 2.903094e-05 2.903094e-05 2.986470e-05 2.986470e-05
2.098208e+01 2.018284e+01 2.188129e+01 6.335803e-04 6.005501e-06 6.005501e-06 2.302109e-05 2.302109e-05 2.379152e-05 2.379152e-05
2.278056e+01 2.188129e+01 2.377981e+01 5.023930e-04 5.003914e-06 5.003914e-06 1.801409e-05 1.801409e-05 1.869617e-05 1.869617e-05
2.477912e+01 2.377981e+01 2.577848e+01 4.112736e-04 4.002663e-06 4.002663e-06 1.400932e-05 1.400932e-05 1.456991e-05 1.456991e-05
2.677788e+01 2.577848e+01 2.787727e+01 3.321903e-04 4.002293e-06 4.002293e-06 1.100631e-05 1.100631e-05 1.171141e-05 1.171141e-05
2.897671e+01 2.787727e+01 3.017615e+01 2.681318e-04 3.001476e-06 3.001476e-06 8.003936e-06 8.003936e-06 8.548207e-06 8.548207e-06
3.137562e+01 3.017615e+01 3.257513e+01 2.070873e-04 3.001265e-06 3.001265e-06 6.002530e-06 6.002530e-06 6.711033e-06 6.711033e-06
3.387464e+01 3.257513e+01 3.517419e+01 1.750636e-04 2.000726e-06 2.000726e-06 5.001816e-06 5.001816e-06 5.387121e-06 5.387121e-06
3.657373e+01 3.517419e+01 3.797331e+01 1.400438e-04 2.000626e-06 2.000626e-06 4.001251e-06 4.001251e-06 4.473535e-06 4.473535e-06
3.947289e+01 3.797331e+01 4.097250e+01 1.100296e-04 2.000539e-06 2.000539e-06 3.000809e-06 3.000809e-06 3.606523e-06 3.606523e-06
4.257212e+01 4.097250e+01 4.417176e+01 8.782041e-05 2.000465e-06 2.000465e-06 2.600604e-06 2.600604e-06 3.281006e-06 3.281006e-06
4.587140e+01 4.417176e+01 4.757107e+01 7.051416e-05 1.800361e-06 1.800361e-06 2.100422e-06 2.100422e-06 2.766419e-06 2.766419e-06
4.937075e+01 4.757107e+01 5.127043e+01 5.891024e-05 1.600278e-06 1.600278e-06 1.700296e-06 1.700296e-06 2.334930e-06 2.334930e-06
5.317013e+01 5.127043e+01 5.516984e+01 4.820724e-05 1.400210e-06 1.400210e-06 1.400210e-06 1.400210e-06 1.980196e-06 1.980196e-06
5.726956e+01 5.516984e+01 5.936930e+01 3.990518e-05 1.300169e-06 1.300169e-06 1.200156e-06 1.200156e-06 1.769411e-06 1.769411e-06
6.156904e+01 5.936930e+01 6.386880e+01 3.090348e-05 1.100124e-06 1.100124e-06 1.000113e-06 1.000113e-06 1.486775e-06 1.486775e-06
6.626855e+01 6.386880e+01 6.876831e+01 2.430237e-05 9.000876e-07 9.000876e-07 8.000779e-07 8.000779e-07 1.204277e-06 1.204277e-06
7.126809e+01 6.876831e+01 7.396788e+01 2.060174e-05 8.000675e-07 8.000675e-07 7.000591e-07 7.000591e-07 1.063104e-06 1.063104e-06
7.666767e+01 7.396788e+01 7.956747e+01 1.780130e-05 8.000585e-07 8.000585e-07 7.000511e-07 7.000511e-07 1.063092e-06 1.063092e-06
8.556709e+01 7.956747e+01 9.206673e+01 1.220072e-05 4.000235e-07 4.000235e-07 5.000294e-07 5.000294e-07 6.403501e-07 6.403501e-07
9.906640e+01 9.206673e+01 1.070661e+02 7.860345e-06 3.500154e-07 3.500154e-07 3.400150e-07 3.400150e-07 4.879764e-07 4.879764e-07
1.150658e+02 1.070661e+02 1.240655e+02 5.090166e-06 2.900095e-07 2.900095e-07 2.400078e-07 2.400078e-07 3.764429e-07 3.764429e-07
1.340653e+02 1.240655e+02 1.460650e+02 3.390082e-06 2.400058e-07 2.400058e-07 1.700041e-07 1.700041e-07 2.941159e-07 2.941159e-07
1.590648e+02 1.460650e+02 1.740645e+02 2.080036e-06 2.000034e-07 2.000034e-07 1.200021e-07 1.200021e-07 2.332421e-07 2.332421e-07
1.910643e+02 1.740645e+02 2.100641e+02 1.330016e-06 1.900023e-07 1.900023e-07 1.100013e-07 1.100013e-07 2.195476e-07 2.195476e-07
2.330639e+02 2.100641e+02 2.580637e+02 9.110073e-07 1.420011e-07 1.420011e-07 9.300074e-08 9.300074e-08 1.697453e-07 1.697453e-07
3.400633e+02 2.580637e+02 4.490630e+02 2.130008e-07 5.100019e-08 5.100019e-08 2.900011e-08 2.900011e-08 5.866878e-08 5.866878e-08
