E_min [GeV]	E_avg [GeV]	E_max [GeV]	Flux_min	Flux_avg [GeV^-1 m^-2 s^-1 sr^-1]	Flux_max	Flux_syst_up [GeV^-1 m^-2 s^-1 sr^-1]	Flux_syst_low
39.8	49.8	63.1	0.263	0.297	0.331	0.322267885	0.274514555
63.1	78.9	100	0.0747	0.0843	0.0939	0.090600242	0.078024527
100	125.1	158.5	0.0211	0.0238	0.0265	0.02539992	0.021916536
158.5	198.3	251.2	0.00589	0.00664	0.00739	0.007120605	0.006136429
251.2	314.3	398.1	0.00168	0.00189	0.0021	0.002024079	0.001740278
398.1	498.1	631	0.000477	0.000539	0.000601	0.000577087	0.000496893
631	789.5	1000	0.000142	0.00016	0.000178	0.00017119	0.000147103
1000	1251	1585	0.0000424	0.0000481	0.0000538	5.16183E-05	4.43893E-05
1585	1983	2512	0.0000124	0.0000145	0.0000166	1.57204E-05	1.31153E-05
2512	3143	3981	0.00000378	0.00000445	0.00000512	4.8562E-06	4.0125E-06
3981	4981	6310	0.00000116	0.00000136	0.00000156	1.49395E-06	1.21394E-06
6310	7895	10000	0.000000343	0.000000406	0.000000469	4.45134E-07	3.62471E-07
10000	12512	15849	0.0000001	0.00000012	0.00000014	1.31434E-07	1.06482E-07
15849	19830	25119	2.78E-08	3.35E-08	3.92E-08	3.67835E-08	2.98268E-08
25119	31429	39811	7.4E-09	9.03E-09	1.066E-08	9.93807E-09	8.04719E-09
39811	49812	63096	1.97E-09	2.47E-09	2.97E-09	2.71948E-09	2.18744E-09
63096	78946	100000	4.96E-10	6.5E-10	8.04E-10	7.2093E-10	5.77078E-10
