#   He  AMS02(2011/05-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.465960e-01 4.059623e-01 4.907268e-01 1.637003e+02 1.900020e-01 1.900020e-01 3.257178e+00 3.257178e+00 3.262715e+00 3.262715e+00
5.371880e-01 4.907268e-01 5.873773e-01 1.463621e+02 1.552365e-01 1.552365e-01 2.535529e+00 2.535529e+00 2.540277e+00 2.540277e+00
6.397802e-01 5.873773e-01 6.961003e-01 1.285124e+02 1.241905e-01 1.241905e-01 2.036725e+00 2.036725e+00 2.040508e+00 2.040508e+00
7.564719e-01 6.961003e-01 8.211930e-01 1.125874e+02 9.594156e-02 9.594156e-02 1.678977e+00 1.678977e+00 1.681716e+00 1.681716e+00
8.876868e-01 8.211930e-01 9.586238e-01 9.724466e+01 9.314623e-02 9.314623e-02 1.420480e+00 1.420480e+00 1.423531e+00 1.423531e+00
1.033275e+00 9.586238e-01 1.112701e+00 8.291831e+01 6.815204e-02 6.815204e-02 1.204019e+00 1.204019e+00 1.205946e+00 1.205946e+00
1.195576e+00 1.112701e+00 1.283506e+00 6.997175e+01 6.674570e-02 6.674570e-02 1.001186e+00 1.001186e+00 1.003408e+00 1.003408e+00
1.374619e+00 1.283506e+00 1.471031e+00 5.840016e+01 4.372906e-02 4.372906e-02 8.308521e-01 8.308521e-01 8.320021e-01 8.320021e-01
1.572574e+00 1.471031e+00 1.679875e+00 4.848224e+01 4.309532e-02 4.309532e-02 6.895252e-01 6.895252e-01 6.908706e-01 6.908706e-01
1.791906e+00 1.679875e+00 1.910089e+00 3.993042e+01 2.128487e-02 2.128487e-02 5.746915e-01 5.746915e-01 5.750855e-01 5.750855e-01
2.032617e+00 1.910089e+00 2.161654e+00 3.276128e+01 2.106835e-02 2.106835e-02 4.635036e-01 4.635036e-01 4.639822e-01 4.639822e-01
2.294673e+00 2.161654e+00 2.434506e+00 2.678170e+01 2.089056e-02 2.089056e-02 3.760302e-01 3.760302e-01 3.766100e-01 3.766100e-01
