#   H  Voyager1(2012/10-2012/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.710000e-03 3.710000e-03 3.710000e-03 2.006000e+04 3.040000e+02 3.080000e+02 0.000000e+00 0.000000e+00 3.040000e+02 3.080000e+02
5.340000e-03 5.340000e-03 5.340000e-03 2.104000e+04 3.110000e+02 3.160000e+02 0.000000e+00 0.000000e+00 3.110000e+02 3.160000e+02
6.950000e-03 6.950000e-03 6.950000e-03 2.239000e+04 3.210000e+02 3.260000e+02 0.000000e+00 0.000000e+00 3.210000e+02 3.260000e+02
8.960000e-03 8.960000e-03 8.960000e-03 2.881000e+04 1.461000e+03 1.536000e+03 0.000000e+00 0.000000e+00 1.461000e+03 1.536000e+03
1.148000e-02 1.148000e-02 1.148000e-02 2.459000e+04 1.349000e+03 1.425000e+03 0.000000e+00 0.000000e+00 1.349000e+03 1.425000e+03
1.399000e-02 1.399000e-02 1.399000e-02 2.902000e+04 1.467000e+03 1.543000e+03 0.000000e+00 0.000000e+00 1.467000e+03 1.543000e+03
1.655000e-02 1.655000e-02 1.655000e-02 3.228000e+04 1.518000e+03 1.591000e+03 0.000000e+00 0.000000e+00 1.518000e+03 1.591000e+03
1.998000e-02 1.998000e-02 1.998000e-02 3.138000e+04 1.155000e+03 1.198000e+03 0.000000e+00 0.000000e+00 1.155000e+03 1.198000e+03
2.587000e-02 2.587000e-02 2.587000e-02 2.771000e+04 8.400000e+02 8.659000e+02 0.000000e+00 0.000000e+00 8.400000e+02 8.659000e+02
3.464000e-02 3.464000e-02 3.464000e-02 2.727000e+04 7.585000e+02 7.799000e+02 0.000000e+00 0.000000e+00 7.585000e+02 7.799000e+02
4.382000e-02 4.382000e-02 4.382000e-02 2.629000e+04 8.648000e+02 8.937000e+02 0.000000e+00 0.000000e+00 8.648000e+02 8.937000e+02
5.231000e-02 5.231000e-02 5.231000e-02 2.570000e+04 8.557000e+02 8.846000e+02 0.000000e+00 0.000000e+00 8.557000e+02 8.846000e+02
7.893000e-02 7.893000e-02 7.893000e-02 2.332000e+04 1.675000e+03 1.675000e+03 0.000000e+00 0.000000e+00 1.675000e+03 1.675000e+03
1.434500e-01 1.434500e-01 1.434500e-01 1.914000e+04 6.921000e+02 6.921000e+02 0.000000e+00 0.000000e+00 6.921000e+02 6.921000e+02
1.645900e-01 1.645900e-01 1.645900e-01 1.836000e+04 7.129000e+02 7.129000e+02 0.000000e+00 0.000000e+00 7.129000e+02 7.129000e+02
1.811800e-01 1.811800e-01 1.811800e-01 1.694000e+04 8.536000e+02 8.536000e+02 0.000000e+00 0.000000e+00 8.536000e+02 8.536000e+02
2.034300e-01 2.034300e-01 2.034300e-01 1.492000e+04 5.016000e+02 5.016000e+02 0.000000e+00 0.000000e+00 5.016000e+02 5.016000e+02
2.440000e-01 2.440000e-01 2.440000e-01 1.362000e+04 3.896000e+02 3.896000e+02 0.000000e+00 0.000000e+00 3.896000e+02 3.896000e+02
3.056900e-01 3.056900e-01 3.056900e-01 1.071000e+04 2.790000e+02 2.790000e+02 0.000000e+00 0.000000e+00 2.790000e+02 2.790000e+02
