Table 8
Voyager 1 Intensities of He for 2012/342-2015/181

E_min	E_max	E_plot	Intensity, J	sig	sys	Counts	Tel Type	
(MeV nuc^-1)	(MeV nuc^-1)	(MeV nuc^-1)	(m^2 s sr MeV nuc^-1)^-1	
3.0	4.6	3.8	1.530e+00	7.964e-02	7.650e-02	4780	1	
4.6	6.2	5.4	1.767e+00	9.149e-02	8.835e-02	5521	1	
6.2	7.7	6.9	1.936e+00	1.002e-01	9.680e-02	5671	1	
7.7	12.8	10.2	2.228e+00	1.233e-01	1.114e-01	1775	2	
12.8	17.9	15.4	2.475e+00	1.358e-01	1.238e-01	1967	2	
17.9	30.0	23.9	2.563e+00	1.336e-01	1.282e-01	4657	2	
30.0	48.0	39.0	2.370e+00	1.226e-01	1.185e-01	5670	2	
48.0	56.0	52.0	2.241e+00	1.226e-01	1.120e-01	2022	2	
110.2	133.9	122.0	1.746e+00	8.831e-02	8.730e-02	17166	3	
133.9	151.7	142.8	1.585e+00	8.059e-02	7.925e-02	11734	3	
151.7	193.1	172.4	1.409e+00	7.103e-02	7.045e-02	24182	3	
193.1	238.8	216.0	1.184e+00	5.973e-02	5.920e-02	22414	3	
238.8	317.8	278.3	9.229e-01	4.645e-02	4.614e-02	30221	3	
317.8	381.3	349.5	7.844e-01	3.960e-02	3.922e-02	20669	3	
381.3	480.5	430.9	5.954e-01	3.001e-02	2.977e-02	24487	3	
480.5	661.4	571.0	4.235e-01	2.131e-02	2.118e-02	31770	3	
