#   He  Voyager1(2012/10-2012/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.340000e-03 3.340000e-03 3.340000e-03 1.459000e+03 1.630000e+02 1.630000e+02 0.000000e+00 0.000000e+00 1.630000e+02 1.630000e+02
4.130000e-03 4.130000e-03 4.130000e-03 1.783000e+03 1.990000e+02 1.990000e+02 0.000000e+00 0.000000e+00 1.990000e+02 1.990000e+02
5.000000e-03 5.000000e-03 5.000000e-03 1.604000e+03 1.570000e+02 1.570000e+02 0.000000e+00 0.000000e+00 1.570000e+02 1.570000e+02
5.780000e-03 5.780000e-03 5.780000e-03 1.795000e+03 1.760000e+02 1.760000e+02 0.000000e+00 0.000000e+00 1.760000e+02 1.760000e+02
6.920000e-03 6.920000e-03 6.920000e-03 1.972000e+03 1.930000e+02 1.930000e+02 0.000000e+00 0.000000e+00 1.930000e+02 1.930000e+02
8.940000e-03 8.940000e-03 8.940000e-03 1.752000e+03 4.140000e+02 4.140000e+02 0.000000e+00 0.000000e+00 4.140000e+02 4.140000e+02
1.150000e-02 1.150000e-02 1.150000e-02 2.487000e+03 4.930000e+02 4.930000e+02 0.000000e+00 0.000000e+00 4.930000e+02 4.930000e+02
1.400000e-02 1.400000e-02 1.400000e-02 2.210000e+03 4.380000e+02 4.380000e+02 0.000000e+00 0.000000e+00 4.380000e+02 4.380000e+02
1.660000e-02 1.660000e-02 1.660000e-02 2.129000e+03 4.540000e+02 4.540000e+02 0.000000e+00 0.000000e+00 4.540000e+02 4.540000e+02
2.000000e-02 2.000000e-02 2.000000e-02 1.903000e+03 3.350000e+02 3.350000e+02 0.000000e+00 0.000000e+00 3.350000e+02 3.350000e+02
2.580000e-02 2.580000e-02 2.580000e-02 2.355000e+03 2.470000e+02 2.470000e+02 0.000000e+00 0.000000e+00 2.470000e+02 2.470000e+02
3.480000e-02 3.480000e-02 3.480000e-02 2.401000e+03 2.680000e+02 2.680000e+02 0.000000e+00 0.000000e+00 2.680000e+02 2.680000e+02
4.400000e-02 4.400000e-02 4.400000e-02 1.813000e+03 2.670000e+02 2.670000e+02 0.000000e+00 0.000000e+00 2.670000e+02 2.670000e+02
5.210000e-02 5.210000e-02 5.210000e-02 1.931000e+03 2.840000e+02 2.840000e+02 0.000000e+00 0.000000e+00 2.840000e+02 2.840000e+02
1.239000e-01 1.239000e-01 1.239000e-01 1.634000e+03 1.710000e+02 1.710000e+02 0.000000e+00 0.000000e+00 1.710000e+02 1.710000e+02
1.412000e-01 1.412000e-01 1.412000e-01 1.614000e+03 1.580000e+02 1.580000e+02 0.000000e+00 0.000000e+00 1.580000e+02 1.580000e+02
1.713000e-01 1.713000e-01 1.713000e-01 1.390000e+03 1.350000e+02 1.350000e+02 0.000000e+00 0.000000e+00 1.350000e+02 1.350000e+02
2.143000e-01 2.143000e-01 2.143000e-01 1.258000e+03 1.050000e+02 1.050000e+02 0.000000e+00 0.000000e+00 1.050000e+02 1.050000e+02
2.750000e-01 2.750000e-01 2.750000e-01 8.709000e+02 7.300000e+01 7.300000e+01 0.000000e+00 0.000000e+00 7.300000e+01 7.300000e+01
3.485000e-01 3.485000e-01 3.485000e-01 7.500000e+02 6.800000e+01 6.800000e+01 0.000000e+00 0.000000e+00 6.800000e+01 6.800000e+01
4.281000e-01 4.281000e-01 4.281000e-01 6.221000e+02 6.100000e+01 6.100000e+01 0.000000e+00 0.000000e+00 6.100000e+01 6.100000e+01
5.668000e-01 5.668000e-01 5.668000e-01 4.200000e+02 3.800000e+01 3.800000e+01 0.000000e+00 0.000000e+00 3.800000e+01 3.800000e+01
