#   B/C  HEAO3-C2(1979/10-1980/06) - Ref: Engelmann et al., A&A 233, 96 (1990)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.200000e-01 0.000000e+00 0.000000e+00 3.210000e-01 7.500000e-03 7.500000e-03 0.000000e+00 0.000000e+00 7.500000e-03 7.500000e-03
8.000000e-01 0.000000e+00 0.000000e+00 3.267000e-01 6.100000e-03 6.100000e-03 0.000000e+00 0.000000e+00 6.100000e-03 6.100000e-03
1.000000e+00 0.000000e+00 0.000000e+00 3.353000e-01 6.000000e-03 6.000000e-03 0.000000e+00 0.000000e+00 6.000000e-03 6.000000e-03
1.250000e+00 0.000000e+00 0.000000e+00 3.341000e-01 4.900000e-03 4.900000e-03 0.000000e+00 0.000000e+00 4.900000e-03 4.900000e-03
1.600000e+00 0.000000e+00 0.000000e+00 3.194000e-01 3.600000e-03 3.600000e-03 0.000000e+00 0.000000e+00 3.600000e-03 3.600000e-03
2.100000e+00 0.000000e+00 0.000000e+00 2.990000e-01 3.400000e-03 3.400000e-03 0.000000e+00 0.000000e+00 3.400000e-03 3.400000e-03
2.650000e+00 0.000000e+00 0.000000e+00 2.856000e-01 3.300000e-03 3.300000e-03 0.000000e+00 0.000000e+00 3.300000e-03 3.300000e-03
3.350000e+00 0.000000e+00 0.000000e+00 2.717000e-01 3.100000e-03 3.100000e-03 0.000000e+00 0.000000e+00 3.100000e-03 3.100000e-03
4.300000e+00 0.000000e+00 0.000000e+00 2.539000e-01 2.900000e-03 2.900000e-03 0.000000e+00 0.000000e+00 2.900000e-03 2.900000e-03
5.600000e+00 0.000000e+00 0.000000e+00 2.399000e-01 2.900000e-03 2.900000e-03 0.000000e+00 0.000000e+00 2.900000e-03 2.900000e-03
7.500000e+00 0.000000e+00 0.000000e+00 2.172000e-01 2.700000e-03 2.700000e-03 0.000000e+00 0.000000e+00 2.700000e-03 2.700000e-03
1.060000e+01 0.000000e+00 0.000000e+00 1.951000e-01 2.700000e-03 2.700000e-03 0.000000e+00 0.000000e+00 2.700000e-03 2.700000e-03
1.620000e+01 0.000000e+00 0.000000e+00 1.691000e-01 3.300000e-03 3.300000e-03 0.000000e+00 0.000000e+00 3.300000e-03 3.300000e-03
3.500000e+01 0.000000e+00 0.000000e+00 1.210000e-01 2.400000e-03 2.400000e-03 0.000000e+00 0.000000e+00 2.400000e-03 2.400000e-03
