#   POSITRON/ELECTRON+POSITRON  PAMELA(2006/07-2008/02) - Ref. Adriani et al., Nature 458, 607 (2009)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.640000e+00 1.400000e-01 1.600000e-01 6.730000e-02 1.300000e-03 1.400000e-03 0.000000e+00 0.000000e+00 1.300000e-03 1.400000e-03
1.990000e+00 1.900000e-01 2.100000e-01 6.070000e-02 1.200000e-03 1.200000e-03 0.000000e+00 0.000000e+00 1.200000e-03 1.200000e-03
2.440000e+00 2.400000e-01 2.600000e-01 5.830000e-02 1.100000e-03 1.100000e-03 0.000000e+00 0.000000e+00 1.100000e-03 1.100000e-03
2.990000e+00 2.900000e-01 3.100000e-01 5.510000e-02 1.200000e-03 1.200000e-03 0.000000e+00 0.000000e+00 1.200000e-03 1.200000e-03
3.680000e+00 3.800000e-01 4.200000e-01 5.500000e-02 1.200000e-03 1.200000e-03 0.000000e+00 0.000000e+00 1.200000e-03 1.200000e-03
4.520000e+00 4.200000e-01 4.800000e-01 5.020000e-02 1.400000e-03 1.400000e-03 0.000000e+00 0.000000e+00 1.400000e-03 1.400000e-03
5.430000e+00 4.300000e-01 6.700000e-01 5.480000e-02 1.600000e-03 1.600000e-03 0.000000e+00 0.000000e+00 1.600000e-03 1.600000e-03
6.830000e+00 7.300000e-01 5.700000e-01 4.830000e-02 1.800000e-03 1.800000e-03 0.000000e+00 0.000000e+00 1.800000e-03 1.800000e-03
8.280000e+00 8.800000e-01 8.200000e-01 5.290000e-02 2.300000e-03 2.300000e-03 0.000000e+00 0.000000e+00 2.300000e-03 2.300000e-03
1.017000e+01 1.070000e+00 1.030000e+00 5.460000e-02 2.800000e-03 2.900000e-03 0.000000e+00 0.000000e+00 2.800000e-03 2.900000e-03
1.311000e+01 1.910000e+00 1.890000e+00 5.850000e-02 3.100000e-03 3.000000e-03 0.000000e+00 0.000000e+00 3.100000e-03 3.000000e-03
1.752000e+01 2.520000e+00 2.480000e+00 5.900000e-02 4.100000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.100000e-03 4.000000e-03
2.402000e+01 4.020000e+00 3.980000e+00 7.460000e-02 5.900000e-03 5.900000e-03 0.000000e+00 0.000000e+00 5.900000e-03 5.900000e-03
3.501000e+01 7.010000e+00 6.990000e+00 8.310000e-02 9.300000e-03 9.300000e-03 0.000000e+00 0.000000e+00 9.300000e-03 9.300000e-03
5.352000e+01 1.152000e+01 1.148000e+01 1.060000e-01 2.300000e-02 2.200000e-02 0.000000e+00 0.000000e+00 2.300000e-02 2.200000e-02
8.255000e+01 1.755000e+01 1.745000e+01 1.370000e-01 4.300000e-02 4.800000e-02 0.000000e+00 0.000000e+00 4.300000e-02 4.800000e-02
