#   SubFe/Fe  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.000000e-01 8.000000e-01 8.000000e-01 2.929000e-01 1.590000e-02 1.590000e-02 0.000000e+00 0.000000e+00 1.590000e-02 1.590000e-02
1.000000e+00 1.000000e+00 1.000000e+00 3.028000e-01 1.530000e-02 1.530000e-02 0.000000e+00 0.000000e+00 1.530000e-02 1.530000e-02
1.250000e+00 1.250000e+00 1.250000e+00 2.704000e-01 1.140000e-02 1.140000e-02 0.000000e+00 0.000000e+00 1.140000e-02 1.140000e-02
1.600000e+00 1.600000e+00 1.600000e+00 2.697000e-01 8.600000e-03 8.600000e-03 0.000000e+00 0.000000e+00 8.600000e-03 8.600000e-03
2.100000e+00 2.100000e+00 2.100000e+00 2.556000e-01 8.200000e-03 8.200000e-03 0.000000e+00 0.000000e+00 8.200000e-03 8.200000e-03
2.650000e+00 2.650000e+00 2.650000e+00 2.317000e-01 7.400000e-03 7.400000e-03 0.000000e+00 0.000000e+00 7.400000e-03 7.400000e-03
3.350000e+00 3.350000e+00 3.350000e+00 2.178000e-01 6.800000e-03 6.800000e-03 0.000000e+00 0.000000e+00 6.800000e-03 6.800000e-03
4.300000e+00 4.300000e+00 4.300000e+00 2.047000e-01 6.500000e-03 6.500000e-03 0.000000e+00 0.000000e+00 6.500000e-03 6.500000e-03
5.600000e+00 5.600000e+00 5.600000e+00 1.865000e-01 5.300000e-03 5.300000e-03 0.000000e+00 0.000000e+00 5.300000e-03 5.300000e-03
7.500000e+00 7.500000e+00 7.500000e+00 1.791000e-01 5.500000e-03 5.500000e-03 0.000000e+00 0.000000e+00 5.500000e-03 5.500000e-03
1.060000e+01 1.060000e+01 1.060000e+01 1.663000e-01 5.300000e-03 5.300000e-03 0.000000e+00 0.000000e+00 5.300000e-03 5.300000e-03
1.620000e+01 1.620000e+01 1.620000e+01 1.441000e-01 6.000000e-03 6.000000e-03 0.000000e+00 0.000000e+00 6.000000e-03 6.000000e-03
3.500000e+01 3.500000e+01 3.500000e+01 1.158000e-01 5.500000e-03 5.500000e-03 0.000000e+00 0.000000e+00 5.500000e-03 5.500000e-03
