#   B/C  PAMELA(2006/07-2008/03)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.900000e-01 4.400000e-01 5.800000e-01 3.280000e-01 9.000000e-03 9.000000e-03 2.200000e-02 2.300000e-02 2.376973e-02 2.469818e-02
6.500000e-01 5.800000e-01 7.600000e-01 3.240000e-01 7.000000e-03 7.000000e-03 2.100000e-02 2.300000e-02 2.213594e-02 2.404163e-02
8.500000e-01 7.600000e-01 1.000000e+00 3.340000e-01 7.000000e-03 7.000000e-03 2.200000e-02 2.400000e-02 2.308679e-02 2.500000e-02
1.130000e+00 1.000000e+00 1.300000e+00 3.210000e-01 7.000000e-03 7.000000e-03 2.100000e-02 2.300000e-02 2.213594e-02 2.404163e-02
1.500000e+00 1.300000e+00 1.710000e+00 3.220000e-01 7.000000e-03 7.000000e-03 2.200000e-02 2.400000e-02 2.308679e-02 2.500000e-02
1.940000e+00 1.710000e+00 2.240000e+00 2.890000e-01 7.000000e-03 7.000000e-03 2.000000e-02 2.200000e-02 2.118962e-02 2.308679e-02
2.530000e+00 2.240000e+00 2.930000e+00 2.800000e-01 7.000000e-03 7.000000e-03 2.000000e-02 2.100000e-02 2.118962e-02 2.213594e-02
3.340000e+00 2.930000e+00 3.840000e+00 2.590000e-01 9.000000e-03 9.000000e-03 2.100000e-02 2.300000e-02 2.284732e-02 2.469818e-02
4.360000e+00 3.840000e+00 5.030000e+00 2.490000e-01 1.000000e-02 1.000000e-02 2.100000e-02 2.200000e-02 2.325941e-02 2.416609e-02
5.730000e+00 5.030000e+00 6.600000e+00 2.320000e-01 1.000000e-02 1.000000e-02 2.000000e-02 2.100000e-02 2.236068e-02 2.325941e-02
7.490000e+00 6.600000e+00 8.650000e+00 2.134000e-01 1.000000e-02 1.000000e-02 1.900000e-02 2.000000e-02 2.147091e-02 2.236068e-02
9.810000e+00 8.650000e+00 1.130000e+01 2.128000e-01 1.200000e-02 1.200000e-02 2.000000e-02 2.000000e-02 2.332381e-02 2.332381e-02
1.290000e+01 1.130000e+01 1.490000e+01 1.990000e-01 1.300000e-02 1.300000e-02 1.900000e-02 2.000000e-02 2.302173e-02 2.385372e-02
1.690000e+01 1.490000e+01 1.950000e+01 1.730000e-01 1.500000e-02 1.500000e-02 1.700000e-02 1.700000e-02 2.267157e-02 2.267157e-02
2.210000e+01 1.950000e+01 2.550000e+01 1.450000e-01 1.600000e-02 1.600000e-02 1.400000e-02 1.400000e-02 2.126029e-02 2.126029e-02
3.260000e+01 2.550000e+01 4.380000e+01 1.220000e-01 1.300000e-02 1.300000e-02 9.000000e-03 9.000000e-03 1.581139e-02 1.581139e-02
5.570000e+01 4.380000e+01 7.530000e+01 1.110000e-01 1.800000e-02 1.800000e-02 8.000000e-03 8.000000e-03 1.969772e-02 1.969772e-02
9.560000e+01 7.530000e+01 1.290000e+02 1.000000e-01 2.000000e-02 2.000000e-02 7.000000e-03 7.000000e-03 2.118962e-02 2.118962e-02
