#   H  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.400000e-01 4.300000e-01 4.600000e-01 1.581000e+03 6.007500e+01 6.007500e+01 0.000000e+00 0.000000e+00 6.007500e+01 6.007500e+01
4.800000e-01 4.600000e-01 5.000000e-01 1.549000e+03 6.007500e+01 6.007500e+01 0.000000e+00 0.000000e+00 6.007500e+01 6.007500e+01
5.200000e-01 5.000000e-01 5.400000e-01 1.527000e+03 6.007500e+01 6.007500e+01 0.000000e+00 0.000000e+00 6.007500e+01 6.007500e+01
5.600000e-01 5.400000e-01 5.800000e-01 1.484000e+03 6.007500e+01 6.007500e+01 0.000000e+00 0.000000e+00 6.007500e+01 6.007500e+01
6.000000e-01 5.800000e-01 6.200000e-01 1.444000e+03 6.003330e+01 6.003330e+01 0.000000e+00 0.000000e+00 6.003330e+01 6.003330e+01
6.500000e-01 6.200000e-01 6.700000e-01 1.402000e+03 5.004000e+01 5.004000e+01 0.000000e+00 0.000000e+00 5.004000e+01 5.004000e+01
7.000000e-01 6.700000e-01 7.200000e-01 1.349000e+03 5.004000e+01 5.004000e+01 0.000000e+00 0.000000e+00 5.004000e+01 5.004000e+01
7.500000e-01 7.200000e-01 7.700000e-01 1.293000e+03 5.004000e+01 5.004000e+01 0.000000e+00 0.000000e+00 5.004000e+01 5.004000e+01
8.000000e-01 7.700000e-01 8.300000e-01 1.233000e+03 5.004000e+01 5.004000e+01 0.000000e+00 0.000000e+00 5.004000e+01 5.004000e+01
8.600000e-01 8.300000e-01 8.900000e-01 1.171000e+03 4.005000e+01 4.005000e+01 0.000000e+00 0.000000e+00 4.005000e+01 4.005000e+01
9.200000e-01 8.900000e-01 9.600000e-01 1.113000e+03 4.005000e+01 4.005000e+01 0.000000e+00 0.000000e+00 4.005000e+01 4.005000e+01
9.900000e-01 9.600000e-01 1.020000e+00 1.053000e+03 4.005000e+01 4.005000e+01 0.000000e+00 0.000000e+00 4.005000e+01 4.005000e+01
1.060000e+00 1.020000e+00 1.090000e+00 9.960000e+02 4.001250e+01 4.001250e+01 0.000000e+00 0.000000e+00 4.001250e+01 4.001250e+01
1.130000e+00 1.090000e+00 1.170000e+00 9.330000e+02 4.001250e+01 4.001250e+01 0.000000e+00 0.000000e+00 4.001250e+01 4.001250e+01
1.210000e+00 1.170000e+00 1.250000e+00 8.710000e+02 3.001670e+01 3.001670e+01 0.000000e+00 0.000000e+00 3.001670e+01 3.001670e+01
1.290000e+00 1.250000e+00 1.330000e+00 8.130000e+02 3.001670e+01 3.001670e+01 0.000000e+00 0.000000e+00 3.001670e+01 3.001670e+01
1.380000e+00 1.330000e+00 1.420000e+00 7.580000e+02 3.001670e+01 3.001670e+01 0.000000e+00 0.000000e+00 3.001670e+01 3.001670e+01
1.470000e+00 1.420000e+00 1.520000e+00 7.030000e+02 3.001670e+01 3.001670e+01 0.000000e+00 0.000000e+00 3.001670e+01 3.001670e+01
1.570000e+00 1.520000e+00 1.620000e+00 6.526000e+02 3.001350e+01 3.001350e+01 0.000000e+00 0.000000e+00 3.001350e+01 3.001350e+01
1.670000e+00 1.620000e+00 1.720000e+00 6.018000e+02 2.001600e+01 2.001600e+01 0.000000e+00 0.000000e+00 2.001600e+01 2.001600e+01
1.780000e+00 1.720000e+00 1.830000e+00 5.555000e+02 2.001600e+01 2.001600e+01 0.000000e+00 0.000000e+00 2.001600e+01 2.001600e+01
1.890000e+00 1.830000e+00 1.950000e+00 5.100000e+02 2.001230e+01 2.001230e+01 0.000000e+00 0.000000e+00 2.001230e+01 2.001230e+01
2.010000e+00 1.950000e+00 2.070000e+00 4.720000e+02 2.001230e+01 2.001230e+01 0.000000e+00 0.000000e+00 2.001230e+01 2.001230e+01
2.130000e+00 2.070000e+00 2.200000e+00 4.343000e+02 2.000900e+01 2.000900e+01 0.000000e+00 0.000000e+00 2.000900e+01 2.000900e+01
2.270000e+00 2.200000e+00 2.330000e+00 3.965000e+02 2.000900e+01 2.000900e+01 0.000000e+00 0.000000e+00 2.000900e+01 2.000900e+01
2.400000e+00 2.330000e+00 2.470000e+00 3.624000e+02 1.001250e+01 1.001250e+01 0.000000e+00 0.000000e+00 1.001250e+01 1.001250e+01
2.550000e+00 2.470000e+00 2.620000e+00 3.315000e+02 1.001250e+01 1.001250e+01 0.000000e+00 0.000000e+00 1.001250e+01 1.001250e+01
2.700000e+00 2.620000e+00 2.780000e+00 3.032000e+02 1.000800e+01 1.000800e+01 0.000000e+00 0.000000e+00 1.000800e+01 1.000800e+01
2.860000e+00 2.780000e+00 2.940000e+00 2.760000e+02 1.000800e+01 1.000800e+01 0.000000e+00 0.000000e+00 1.000800e+01 1.000800e+01
3.030000e+00 2.940000e+00 3.120000e+00 2.502000e+02 9.008890e+00 9.008890e+00 0.000000e+00 0.000000e+00 9.008890e+00 9.008890e+00
3.210000e+00 3.120000e+00 3.300000e+00 2.270000e+02 9.008890e+00 9.008890e+00 0.000000e+00 0.000000e+00 9.008890e+00 9.008890e+00
3.390000e+00 3.300000e+00 3.490000e+00 2.058000e+02 8.005620e+00 8.005620e+00 0.000000e+00 0.000000e+00 8.005620e+00 8.005620e+00
3.590000e+00 3.490000e+00 3.690000e+00 1.872000e+02 7.006430e+00 7.006430e+00 0.000000e+00 0.000000e+00 7.006430e+00 7.006430e+00
3.900000e+00 3.690000e+00 4.120000e+00 1.607000e+02 6.003330e+00 6.003330e+00 0.000000e+00 0.000000e+00 6.003330e+00 6.003330e+00
4.350000e+00 4.120000e+00 4.590000e+00 1.302000e+02 5.004000e+00 5.004000e+00 0.000000e+00 0.000000e+00 5.004000e+00 5.004000e+00
4.840000e+00 4.590000e+00 5.110000e+00 1.053000e+02 4.001250e+00 4.001250e+00 0.000000e+00 0.000000e+00 4.001250e+00 4.001250e+00
5.380000e+00 5.110000e+00 5.680000e+00 8.480000e+01 3.001670e+00 3.001670e+00 0.000000e+00 0.000000e+00 3.001670e+00 3.001670e+00
5.980000e+00 5.680000e+00 6.300000e+00 6.800000e+01 3.001670e+00 3.001670e+00 0.000000e+00 0.000000e+00 3.001670e+00 3.001670e+00
