#   H  PAMELA(2009/12-2010/01) - Ref: Adriani et al., ApJ 765, 91 (2013)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.820000e-02 6.200000e-03 6.800000e-03 1.345809e+01 1.112431e+00 1.112431e+00 1.268016e+00 2.069278e+00 1.686822e+00 2.349343e+00
9.740000e-02 2.400000e-03 2.600000e-03 1.633620e+01 1.479935e+00 1.479935e+00 1.517882e+00 2.495018e+00 2.119947e+00 2.900918e+00
1.048000e-01 4.800000e-03 5.200000e-03 2.214181e+01 1.471727e+00 1.471727e+00 1.735320e+00 3.371793e+00 2.275372e+00 3.678990e+00
1.148000e-01 4.800000e-03 5.200000e-03 2.912568e+01 1.990035e+00 1.990035e+00 2.069109e+00 4.428157e+00 2.870793e+00 4.854772e+00
1.249000e-01 4.900000e-03 5.100000e-03 3.372722e+01 2.012401e+00 2.012401e+00 2.418001e+00 5.101203e+00 3.145868e+00 5.483797e+00
1.396000e-01 9.600000e-03 1.040000e-02 4.396529e+01 2.397043e+00 2.397043e+00 3.001176e+00 6.645462e+00 3.840947e+00 7.064558e+00
1.549000e-01 4.900000e-03 5.100000e-03 5.871334e+01 2.927269e+00 2.927269e+00 3.671084e+00 8.829796e+00 4.695291e+00 9.302376e+00
1.649000e-01 4.900000e-03 5.100000e-03 6.414596e+01 3.045505e+00 3.045505e+00 4.133186e+00 9.625972e+00 5.134036e+00 1.009626e+01
1.797000e-01 9.700000e-03 1.030000e-02 7.352909e+01 3.293793e+00 3.293793e+00 4.876106e+00 1.101160e+01 5.884342e+00 1.149367e+01
1.997000e-01 9.700000e-03 1.030000e-02 9.662946e+01 3.868369e+00 3.868369e+00 5.982013e+00 1.443659e+01 7.123816e+00 1.494588e+01
2.149000e-01 4.900000e-03 5.100000e-03 1.197038e+02 4.294927e+00 4.294927e+00 6.881120e+00 1.782626e+01 8.111486e+00 1.833636e+01
2.297000e-01 9.700000e-03 1.030000e-02 1.396613e+02 4.801350e+00 4.801350e+00 7.861551e+00 2.073550e+01 9.211783e+00 2.128412e+01
2.498000e-01 9.800000e-03 1.020000e-02 1.673569e+02 5.491203e+00 5.491203e+00 9.235206e+00 2.477282e+01 1.074441e+01 2.537412e+01
2.745000e-01 1.450000e-02 1.550000e-02 2.022401e+02 6.178721e+00 6.178721e+00 1.115184e+01 2.983870e+01 1.274912e+01 3.047170e+01
2.998000e-01 9.800000e-03 1.020000e-02 2.339578e+02 6.920763e+00 6.920763e+00 1.321237e+01 3.442406e+01 1.491522e+01 3.511286e+01
3.246000e-01 1.460000e-02 1.540000e-02 2.798499e+02 7.902388e+00 7.902388e+00 1.548868e+01 4.109242e+01 1.738813e+01 4.184537e+01
3.498000e-01 9.800000e-03 1.020000e-02 3.221740e+02 8.809922e+00 8.809922e+00 1.786456e+01 4.710861e+01 1.991877e+01 4.792532e+01
3.747000e-01 1.470000e-02 1.530000e-02 3.515618e+02 9.406807e+00 9.406807e+00 2.049841e+01 5.138644e+01 2.255378e+01 5.224035e+01
4.095000e-01 1.950000e-02 2.050000e-02 4.049720e+02 1.022911e+01 1.022911e+01 2.448278e+01 5.885928e+01 2.653377e+01 5.974152e+01
4.447000e-01 1.470000e-02 1.530000e-02 4.934064e+02 1.186549e+01 1.186549e+01 2.867492e+01 7.158843e+01 3.103290e+01 7.256510e+01
4.795000e-01 1.950000e-02 2.050000e-02 5.478999e+02 1.287553e+01 1.287553e+01 3.333844e+01 7.932248e+01 3.573837e+01 8.036066e+01
5.196000e-01 1.960000e-02 2.040000e-02 5.939651e+02 1.403917e+01 1.403917e+01 3.887772e+01 8.585495e+01 4.133492e+01 8.699523e+01
5.596000e-01 1.960000e-02 2.040000e-02 6.930057e+02 1.565761e+01 1.565761e+01 4.509391e+01 9.989554e+01 4.773491e+01 1.011152e+02
5.996000e-01 1.960000e-02 2.040000e-02 7.575090e+02 1.150465e+01 1.150465e+01 5.177091e+01 1.089346e+02 5.303380e+01 1.095404e+02
6.445000e-01 2.450000e-02 2.550000e-02 8.166376e+02 1.246141e+01 1.246141e+01 5.939938e+01 1.171372e+02 6.069245e+01 1.177982e+02
6.945000e-01 2.450000e-02 2.550000e-02 9.019576e+02 1.350525e+01 1.350525e+01 6.897323e+01 1.292645e+02 7.028299e+01 1.299681e+02
7.445000e-01 2.450000e-02 2.550000e-02 9.805217e+02 1.441129e+01 1.441129e+01 7.926207e+01 1.396786e+02 8.056154e+01 1.404201e+02
7.994000e-01 2.940000e-02 3.060000e-02 1.092759e+03 1.597601e+01 1.597601e+01 9.074372e+01 1.552868e+02 9.213933e+01 1.561064e+02
8.594000e-01 2.940000e-02 3.060000e-02 1.144781e+03 1.624850e+01 1.624850e+01 1.048767e+02 1.624850e+02 1.061279e+02 1.632954e+02
9.243000e-01 3.430000e-02 3.570000e-02 1.231945e+03 1.794094e+01 1.794094e+01 1.213149e+02 1.742834e+02 1.226343e+02 1.752044e+02
9.895000e-01 2.950000e-02 3.050000e-02 1.353130e+03 1.958220e+01 1.958220e+01 1.380545e+02 1.909265e+02 1.394364e+02 1.919281e+02
1.054400e+00 3.440000e-02 3.560000e-02 1.438617e+03 2.001167e+01 2.001167e+01 1.567581e+02 2.034520e+02 1.580303e+02 2.044338e+02
1.129200e+00 3.920000e-02 4.080000e-02 1.502059e+03 2.167657e+01 2.167657e+01 1.797881e+02 2.116654e+02 1.810901e+02 2.127724e+02
1.209300e+00 3.930000e-02 4.070000e-02 1.615959e+03 2.339851e+01 2.339851e+01 2.266730e+02 2.266730e+02 2.278775e+02 2.278775e+02
1.294200e+00 4.420000e-02 4.580000e-02 1.725202e+03 2.344935e+01 2.344935e+01 2.411933e+02 2.411933e+02 2.423305e+02 2.423305e+02
1.379400e+00 3.940000e-02 4.060000e-02 1.771455e+03 2.473568e+01 2.473568e+01 2.473568e+02 2.473568e+02 2.485905e+02 2.485905e+02
1.469100e+00 4.910000e-02 5.090000e-02 1.860416e+03 2.589906e+01 2.589906e+01 2.589906e+02 2.589906e+02 2.602823e+02 2.602823e+02
1.569200e+00 4.920000e-02 5.080000e-02 1.942825e+03 2.708628e+01 2.708628e+01 2.708628e+02 2.708628e+02 2.722137e+02 2.722137e+02
1.669200e+00 4.920000e-02 5.080000e-02 2.006084e+03 2.786228e+01 2.786228e+01 2.786228e+02 2.786228e+02 2.800124e+02 2.800124e+02
1.774100e+00 5.410000e-02 5.590000e-02 2.124516e+03 3.147431e+01 3.147431e+01 2.958585e+02 2.958585e+02 2.975280e+02 2.975280e+02
1.889000e+00 5.900000e-02 6.100000e-02 2.158834e+03 3.211489e+01 3.211489e+01 2.997390e+02 2.997390e+02 3.014545e+02 3.014545e+02
